Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2023-11-21 16:23:09Z : PB = 647876608 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-21 16:23:09Z : PB = 647876608 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-21 16:23:09Z : PB = 647876608 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-21 16:23:09Z : PB = 654151680 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-21 16:23:09Z : PB = 654151680 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-21 16:23:09Z : PB = 654151680 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-21 16:23:09Z : PB = 654151680 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-21 16:23:09Z : PB = 654151680 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-21 16:23:09Z : PB = 654958592 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-21 16:23:09Z : PB = 654958592 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-21 16:23:09Z : PB = 654958592 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-21 16:23:09Z : PB = 602558464 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-21 16:23:09Z : PB = 602558464 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-21 16:23:10Z : PB = 602558464 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-21 16:23:10Z : PB = 602271744 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-21 16:23:10Z : PB = 602271744 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-21 16:23:10Z : PB = 602255360 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
